Genes	N_G005	N_G006	N_G010	N_G012	N_G014	N_G016	N_G022	N_G036	N_G038	N_G039	N_G043	N_G044	N_G046	N_G055	N_G059	N_G061	N_G064	N_G066	N_G076	N_G079	N_G080	N_G084	N_G085	N_G091	N_G102	N_G116	N_G117
ABHD3	1.1163	1.3899	1.238	1.4733	1.2581	0.8844	1.3799	1.0262	1.4858	1.4067	1.3902	0.3767	1.0546	0.9511	1.1774	1.2086	1.2749	1.6394	1.6504	1.6498	1.4014	1.5541	1.4373	1.6449	1.3593	1.2767	1.4606
ABHD4	0.8537	0.7667	0.7694	0.7953	0.4291	0.6782	0.6793	0.3035	0.8249	0.774	0.4753	0.8969	0.7067	0.5393	0.6207	0.6899	0.5111	1.0306	0.6894	0.2999	0.48	0.7597	0.9557	0.7987	0.7662	0.6558	0.8059
ABHD5	1.2643	1.6622	1.5171	1.5489	1.5387	1.261	1.6239	1.6299	1.5885	1.6322	1.2457	1.3967	1.4862	1.9647	1.6137	1.5016	1.5859	1.4616	1.4635	1.7248	1.8243	1.524	1.544	1.5168	1.7335	1.6301	1.4576
ABHD6	-2.3971	-2.5563	-2.6392	-2.6564	-3.427	-2.7706	-2.6883	-2.2455	-2.5023	-2.5688	-2.9942	-2.4102	-2.211	-2.5937	-2.5214	-2.3906	-2.4545	-2.2921	-2.4849	-2.7254	-2.4812	-2.6996	-2.25	-2.6096	-2.3474	-2.363	-2.4026
ABHD7	-3.1617	-2.9332	-2.426	-3.1257	-2.0332	-3.9692	-2.5075	-2.1245	-4.3122	-1.9323	-2.1577	-2.5754	-3.9171	-3.2186	-3.0853	-3.1738	-3.3335	-3.3272	-3.0995	-2.6613	-2.7576	-3.8874	-3.1397	-2.4957	-3.5657	-3.2593	-3.6498
ABHD8	-2.0474	-1.4157	-1.5196	-0.9167	-1.2243	-1.1442	-1.3134	-1.8524	-1.1097	-1.5466	-1.1206	-1.0443	-0.7975	-0.9745	-0.7635	-1.2821	-1.4228	-0.9106	-1.7721	-1.6245	-1.5608	-1.0357	-1.5195	-1.0908	-0.981	-1.1156	-1.2124
ABHD9	-0.833866667	-0.758066667	-0.625966667	-0.623266667	-0.561566667	-0.700166667	-0.707466667	-0.792866667	-0.660766667	-0.491866667	-0.473766667	-0.717666667	-0.693266667	-0.689166667	-0.749266667	-0.533566667	-0.938666667	-0.598066667	-0.828966667	-0.914966667	-0.983866667	-0.724666667	-0.823966667	-0.688166667	-0.829766667	-0.603966667	-0.840866667
ABI1	0.180675	0.067175	0.348175	0.273675	0.170875	0.286675	0.329675	0.037575	0.052775	0.354675	0.616075	-0.019625	0.036875	0.334475	0.378875	0.237175	0.148775	0.279875	-0.223525	-0.080225	0.114075	0.203975	0.128775	0.077175	0.172575	0.306975	0.060375
ABI2	-0.048025	0.233475	0.067275	-0.056825	0.210375	-0.064125	0.143875	0.092075	0.202475	-0.087525	0.190675	0.184875	-0.155225	-0.194525	0.007675	0.205375	0.133475	0.321875	0.109875	0.112675	0.203375	0.322875	0.092075	0.133375	0.197775	-0.204025	0.253975
ABI3	-1.7405	-1.4974	-2.1929	-1.6983	-1.2363	-1.8446	-1.8742	-1.67	-2.2161	-1.4106	-1.4528	-1.4513	-1.7836	-1.2643	-2.0316	-1.3441	-1.726	-1.4244	-1.6471	-2.2623	-1.5302	-1.7162	-1.8727	-1.3383	-1.882	-1.6539	-1.6085
ABI3BP	0.752	0.733	0.7658	0.7658	0.7515	1.6718	0.7665	0.6511	0.7468	0.7518	0.7924	0.7435	1.5539	1.8561	0.7577	0.7564	0.7256	0.7505	0.7412	0.7602	0.7196	0.7378	0.7609	0.7434	0.7429	0.7441	0.7351
ABL1	2.34284	1.68034	2.03454	1.98844	2.14434	2.52334	2.73814	1.98354	2.43034	2.22764	2.27974	2.02554	2.07714	2.48354	2.19004	1.70814	1.55034	1.94674	1.74614	2.48194	1.72534	1.89214	1.58204	1.98844	1.99854	2.17694	2.10924
ABL2	-0.189766667	0.080933333	0.110133333	-0.036166667	0.018333333	-0.253166667	-0.040666667	-0.188066667	-0.122666667	0.130633333	-0.304066667	0.308033333	-0.093066667	0.964733333	-0.067066667	-0.174266667	0.038833333	-0.385766667	0.012033333	0.044633333	-0.122466667	-0.110966667	-0.202066667	0.017333333	-0.307866667	0.298433333	-0.226066667
ABLIM1	-2.019925	-1.840425	-1.446625	-1.782325	-1.868425	-1.538525	-1.698325	-1.440525	-1.695925	-1.758825	-1.540025	-1.791825	-1.797025	-2.079325	-1.927525	-1.699825	-1.773525	-1.226625	-1.399825	-1.459625	-1.514125	-1.424025	-2.021025	-1.519325	-1.508125	-2.070825	-1.668625
ABLIM2	-3.5956	-3.5114	-3.7521	-3.5761	-3.5666	-3.4221	-3.5517	-3.4939	-4.1946	-3.5972	-3.3683	-3.4649	-3.429	-3.7614	-3.8406	-3.3285	-3.3879	-3.075	-3.0052	-3.7721	-3.5962	-3.5681	-3.5477	-3.3336	-2.6834	-3.749	-3.3176
ABLIM3	-1.165661538	-1.470461538	-1.455161538	-1.432761538	-1.384761538	-0.741961538	-1.019761538	-1.018761538	-1.047461538	-0.545461538	-1.293461538	-1.183361538	-0.227261538	-0.536661538	-1.470761538	-0.632961538	-0.563961538	-1.412061538	-1.447361538	-1.479661538	-1.519161538	-0.070261538	-1.258561538	-1.264761538	-1.356961538	-0.385261538	-1.525961538
ABO	-0.0243	-0.0698	-0.0155	-0.0227	-0.1246	-0.0089	-0.0105	-0.0031	-0.0336	-0.1999	0.0173	-0.2084	-0.1465	0.4039	-0.029	-0.0123	-0.4008	-0.0023	-0.0249	-0.0324	-0.0589	-0.0266	-0.0255	-0.1797	-0.036	-0.0365	-0.0507
ABP1	-0.387545455	-0.600145455	-0.509045455	-0.310845455	-0.408545455	-0.718745455	-0.603245455	-0.448545455	-0.395045455	-0.637845455	-0.530945455	-0.628545455	-0.786145455	-0.560045455	-0.623445455	0.095354545	-0.712645455	-0.563245455	-0.481545455	-0.473645455	-0.824445455	-0.640745455	-0.443845455	-0.326445455	-0.685445455	-0.665545455	-0.376545455
ABR	-3.8022	-3.5103	-3.2964	-3.2114	-3.7188	-3.2948	-3.3255	-3.5894	-2.9259	-3.1171	-3.3051	-3.0927	-3.2227	-3.5131	-3.2867	-3.4046	-3.3287	-3.2423	-3.4744	-2.9287	-3.1433	-3.4687	-3.4993	-3.581	-2.8786	-3.2513	-3.626
ABRA	-0.5342	-0.5566	-0.5257	-0.5266	0.0046	-0.6667	-0.5238	-0.5156	-0.5445	-0.0662	-0.4972	-0.8504	-0.538	-0.5274	-0.5346	-0.5352	-0.565	-0.5358	-0.5476	-0.5328	-0.3243	-0.5507	-0.5309	-0.302	-0.5475	-0.547	-0.4963
ABT1	1.7766	1.6425	1.4406	1.4607	1.3546	1.8522	1.6147	1.4409	1.823	1.658	1.5146	1.4294	1.3219	1.5261	1.4813	1.327	1.4456	1.4869	1.6716	1.9488	1.6824	1.7225	1.7848	1.1006	1.5868	1.6032	1.3695
ABTB1	-0.68515	-0.57645	-0.40525	-0.47365	-0.58385	-0.55505	-0.48595	-0.70875	-1.07935	-0.39275	-0.17485	-0.50775	-0.35395	-0.46645	-0.45285	-0.44825	-0.66515	-0.30495	-0.54135	-0.03945	-0.90815	-0.48105	-0.45995	-0.55115	-0.24565	-0.62065	-0.58575
ABTB2	-0.1726	-0.0313	-0.4484	-0.4298	-0.9156	-0.0591	-0.1199	-0.0587	-0.1027	0.1641	-0.2097	-0.0948	-0.3328	-0.7892	-0.0929	-0.2706	-0.0256	-0.666	-0.1878	-1.0941	-0.5303	-0.7575	-0.0329	-0.4032	-0.181	-0.2379	-0.5068
ACAA1	0.167930769	0.112430769	0.011630769	0.050630769	0.030530769	0.018930769	0.104730769	-0.012369231	-0.114969231	-0.110169231	-0.100669231	0.084230769	0.228030769	-0.111769231	0.114930769	0.264330769	0.172630769	0.237930769	0.203730769	0.236730769	0.056730769	-0.025969231	0.214230769	-0.030369231	0.140730769	0.141430769	-0.026269231
ACAA2	0.703509091	0.724809091	0.605709091	0.861009091	0.804009091	0.628909091	0.602509091	0.551809091	0.654309091	0.834309091	0.666009091	0.515409091	0.880709091	0.698409091	0.947909091	0.389109091	0.527109091	0.590209091	0.426009091	1.242909091	0.818509091	-0.097290909	0.599609091	0.608609091	0.310309091	0.777609091	0.329209091
ACACA	0.43269375	0.44449375	0.52069375	0.54589375	0.44809375	-0.16470625	0.03709375	-0.14270625	0.37039375	0.24149375	-0.09980625	0.25549375	0.73639375	0.42699375	0.53649375	0.28479375	0.45989375	0.13799375	0.26899375	0.18989375	0.46809375	0.30059375	0.26439375	0.40059375	-0.09940625	0.25079375	0.33289375
ACACB	-0.675	0.2463	-0.0295	0.0079	-0.0672	0.2774	-0.1126	-0.3169	0.0055	-0.2511	-0.2675	0.0222	0.2157	-0.314	-0.0019	-0.2823	-0.1605	0.2655	0.088	0.2279	-0.2664	0.506	-0.6206	0.0752	0.2912	0.3883	0.0101
ACAD10	1.3472625	1.0916625	1.6735625	1.7214625	1.4957625	2.0588625	1.8383625	1.2174625	1.4522625	1.4172625	1.4747625	1.1735625	1.1932625	1.6392625	1.2201625	1.0410625	0.8178625	1.1974625	0.9277625	1.7087625	0.9788625	1.0307625	0.9876625	1.1761625	1.1349625	1.1319625	1.2004625
ACAD11	0.673578571	0.808778571	0.357778571	0.447778571	0.235278571	0.783678571	0.604178571	1.127078571	0.699578571	0.280278571	0.158978571	0.768778571	1.010378571	0.610178571	0.743378571	0.469778571	0.607478571	0.678878571	0.924478571	0.826978571	0.904078571	0.757378571	0.548778571	0.594678571	1.136878571	0.483478571	0.850878571
ACAD8	-0.7877	-0.698	-0.9531	-0.8094	-0.6762	-1.111	-0.7676	-0.6068	-0.7954	-1.0787	-0.9707	-0.6046	-0.9249	-0.7066	-0.664	-0.5125	-0.5291	-0.6822	-0.6071	-0.7104	-0.9143	-0.6493	-0.7328	-0.7309	-0.59	-0.8668	-0.7051
ACAD9	0.3192	0.3268	0.496	0.3809	0.4335	0.4697	0.4017	0.4684	0.1468	0.4077	0.4059	0.3742	0.443	0.5193	0.379	0.6967	0.6623	0.4248	0.4666	0.5993	0.2703	0.385	0.4969	0.4419	0.4982	0.2636	0.4983
ACADL	-0.1957625	-0.8810625	-0.8565625	-0.8434625	-1.1610625	-0.3072625	-0.8471625	-0.8384625	-0.8646625	-0.3440625	-0.8228625	-0.5068625	-0.5321625	-0.8280625	-0.7616625	-0.9882625	-0.8869625	-0.8705625	-0.8747625	-1.0238625	-0.7789625	-0.5966625	-0.4989625	-0.6053625	-0.8706625	-0.8674625	-0.9817625
ACADM	0.603672727	0.788372727	0.770072727	0.735872727	0.580872727	0.418372727	0.557872727	0.783572727	0.695072727	0.478372727	0.661572727	0.672772727	0.633372727	0.714972727	0.664472727	0.678872727	0.633372727	0.800072727	0.745272727	0.705672727	0.743272727	0.995972727	0.737172727	0.680572727	0.589272727	0.547772727	0.677972727
ACADS	0.841728571	0.650928571	0.416628571	0.592928571	0.564928571	0.723428571	0.498828571	0.278828571	0.468128571	0.647828571	0.321828571	0.751328571	0.231028571	0.578328571	0.609628571	0.451028571	0.321828571	0.897028571	0.634828571	0.720028571	0.494528571	0.632928571	0.791528571	0.695228571	0.856628571	0.581728571	0.596628571
ACADSB	0.311545833	-0.024154167	-0.144154167	-0.025554167	0.121145833	-0.419454167	-0.148454167	-0.013354167	0.108245833	-0.153354167	-0.194354167	0.251945833	0.077845833	0.033545833	0.127745833	0.165745833	0.163045833	0.120545833	-0.079154167	0.345045833	0.144345833	0.232345833	0.096245833	0.050645833	0.128945833	0.075745833	0.067545833
ACADVL	0.798225	0.793825	0.895725	0.734225	0.668625	0.891625	0.726025	0.633225	0.838425	0.747425	0.666825	1.131225	0.954525	0.688325	0.987525	0.762125	0.640625	1.026025	0.799625	0.967425	0.792325	0.819025	0.748525	0.796825	0.867425	0.566125	0.732625
ACAT1	0.676866667	0.492766667	0.254466667	0.541066667	0.398266667	0.235566667	0.499066667	0.512766667	0.664966667	0.358366667	0.461466667	0.363966667	0.611566667	0.617066667	0.580266667	0.683266667	0.530366667	0.669366667	0.552166667	0.738366667	0.260966667	0.761566667	0.435366667	0.452266667	0.697166667	0.598466667	0.571066667
ACBD3	-0.067353846	-0.044953846	-0.240753846	-0.060153846	-0.267153846	0.119746154	0.104746154	0.086646154	-0.190653846	0.027946154	-0.195153846	-0.170753846	0.042846154	0.151646154	0.001646154	-0.095353846	-0.010753846	0.021046154	0.045246154	0.158646154	0.032246154	0.175346154	-0.045253846	-0.173953846	0.129846154	0.048546154	-0.091953846
ACBD4	0.690436364	0.638436364	1.500536364	1.055436364	1.432536364	1.237236364	1.031536364	1.179736364	1.443536364	1.417936364	1.333636364	0.784136364	0.919936364	1.309936364	0.964436364	0.930036364	0.505536364	0.696136364	0.624636364	1.507136364	0.499836364	0.758336364	0.814136364	0.689436364	0.636236364	1.380036364	0.733936364
ACBD5	-0.4229	-0.5601	-0.5733	-0.5001	-0.8135	-1.0708	-0.7795	-0.5699	-0.8725	-0.6611	-0.8988	-0.3512	-0.7173	-0.5813	-0.6465	-0.6206	-0.439	-0.6115	-0.8273	-0.5934	-0.4572	-0.479	-0.5801	-0.8108	-0.6049	-0.6286	-0.6067
ACBD6	0.2653	0.1521	-0.0414	0.2541	0.0374	0.1875	0.1813	0.275	0.1707	-0.0328	0.0921	0.2568	0.0216	0.3624	0.0466	0.2496	0.3197	0.1701	0.138	0.4133	0.4187	0.3563	0.1908	0.1432	0.1506	-0.0655	0.29
ACCN1	-2.3756375	-2.4390375	-2.2197375	-2.3325375	-1.8756375	-2.3533375	-2.0248375	-2.2018375	-2.3946375	-1.8110375	-1.7232375	-2.3480375	-2.2733375	-2.0597375	-2.4582375	-1.8424375	-1.8268375	-2.0869375	-2.6541375	-2.3254375	-2.2158375	-2.7485375	-2.3191375	-2.1323375	-2.2241375	-2.5853375	-2.6312375
ACCN2	-2.4517	-2.7468	-2.4239	-2.9901	-2.6816	-2.7875	-2.5967	-2.312	-3.0082	-2.6654	-2.9069	-2.7919	-3.1217	-3.1806	-2.8236	-2.2961	-2.339	-2.0841	-2.5167	-2.5962	-2.1303	-2.5779	-2.3078	-2.2305	-2.6827	-3.5399	-2.3341
ACCN3	-0.092433333	-0.546333333	-0.181033333	-0.746833333	-0.196033333	-0.470033333	-0.525633333	-0.986833333	0.250866667	-0.096733333	-0.150033333	-0.185933333	-0.818133333	-0.766633333	-0.535933333	-0.171933333	-0.270133333	-0.282133333	-1.068933333	-0.985233333	-0.024733333	-0.477233333	-0.122633333	-0.097333333	-0.478033333	-0.412633333	-0.355933333
ACCN4	0.3580125	-0.1673875	-1.2140875	-0.4231875	-0.2228875	-0.8168875	0.1341125	0.1562125	0.7270125	-0.3572875	-0.2480875	-0.1339875	-1.1256875	-0.9882875	-0.8306875	0.6329125	0.5332125	0.6468125	0.4153125	-1.1299875	0.2484125	0.6325125	0.5925125	0.3046125	0.6531125	-0.7184875	0.1972125
ACCN5	0.034766667	0.016966667	0.043066667	0.039366667	0.025466667	0.057166667	0.046966667	0.054766667	0.024766667	0.026966667	0.074466667	0.015666667	0.019366667	0.023766667	0.032266667	0.033066667	0.005866667	0.045066667	0.027566667	0.031466667	0.301766667	0.024966667	0.035966667	0.012366667	0.022466667	0.022466667	0.011366667
ACD	-0.2807875	-0.1111875	-0.2056875	-0.0498875	-0.1206875	-0.4156875	-0.2289875	-0.0470875	0.0518125	-0.1242875	-0.2079875	-0.2552875	-0.0153875	-0.0984875	-0.1182875	-0.2498875	-0.3003875	-0.2157875	-0.1728875	-0.3156875	-0.0895875	-0.2223875	-0.2450875	-0.2668875	-0.1577875	0.0334125	-0.0401875
ACE	1.22465	0.48575	1.07425	1.23615	0.98595	2.07995	1.25595	1.57445	1.01815	1.35975	1.26375	1.21825	1.10155	2.09515	1.20175	0.84895	0.64975	0.80605	0.99975	1.35025	0.55435	0.86325	0.88345	0.71315	0.95205	1.10405	1.26775
ACE2	-0.3165	-0.3526	-0.2225	-0.296	-0.0043	-0.3415	-0.0227	0.2301	0.1457	-0.2845	-0.1379	-0.1883	-0.2964	-0.4483	-0.1261	0.1316	0.7	-0.255	-0.2386	-0.206	-0.18	-0.0576	-0.3243	-0.1423	-0.2127	-0.1366	0.0835
ACF	1.3771	1.6088	1.7021	1.6982	1.6436	1.542	1.6426	1.5659	1.587	1.5749	2.0611	1.1923	1.4885	1.6966	1.6448	1.8413	1.3996	1.8542	1.4402	1.4762	1.4057	1.9472	1.5482	1.4352	1.5731	1.694	1.4577
ACHE	-0.415575	-0.143175	-0.043975	-0.256675	0.133125	0.049825	-0.067575	-0.243075	-0.282975	-0.141375	0.344525	-0.027875	-0.396375	-0.256375	-0.475875	-0.064075	-0.248975	0.212525	-0.262375	-0.627575	-0.105975	-0.303175	-0.334475	-0.058775	-0.313875	-0.265775	-0.177175
ACIN1	0.7602375	0.9136375	0.7448375	0.7903375	0.8787375	0.7877375	0.6811375	0.5375375	0.7411375	1.0128375	0.9103375	0.8600375	0.6116375	0.8287375	0.6362375	0.6404375	0.6303375	0.6320375	0.7181375	0.5533375	0.5792375	0.7615375	0.8403375	0.7689375	0.5341375	0.4877375	0.6920375
ACLY	0.870027273	0.516627273	0.906627273	0.752827273	0.567027273	0.385727273	0.613227273	0.642027273	0.785527273	0.645527273	0.595527273	0.667027273	0.991327273	0.812127273	0.628327273	0.665927273	0.663827273	0.765527273	0.527427273	0.729527273	0.838227273	0.885527273	0.809927273	0.778127273	0.605627273	0.663427273	0.680327273
ACMSD	1.0568	1.0383	1.0651	1.0619	1.0651	1.0802	2.1054	1.0766	1.0468	1.0494	1.0961	1.2677	1.0487	1.0487	1.0546	1.0553	1.0276	1.0653	1.0486	1.0542	1.0256	1.046	1.0584	1.3003	1.0444	1.0445	0.7662
ACN9	1.3192	1.0698	1.139	0.7594	1.139	0.5963	0.9736	1.3287	1.2033	0.5476	1.0755	-0.0659	1.0854	0.9414	-0.3025	1.0249	1.1137	0.4616	1.136	-1.4678	1.2172	-1.4203	1.0874	0.8231	-0.4863	1.1696	0.9553
ACO1	0.8195875	0.9165875	1.0521875	1.0682875	1.0037875	0.8314875	0.8581875	1.0076875	0.9250875	0.9963875	0.7583875	0.9814875	0.8878875	1.1187875	1.1930875	1.0871875	1.0702875	1.0086875	0.8986875	1.1317875	0.7000875	0.9758875	0.8894875	0.9719875	0.7679875	0.9843875	1.1169875
ACOT11	-0.2341	-0.3236	-0.2258	-0.2303	-0.2441	-0.2133	-0.2215	-0.2238	-0.3584	-0.2424	-0.1938	-0.2543	-0.2445	-0.2496	-0.2372	-0.5021	-0.3023	-0.0884	-0.2398	-0.2385	-0.27	-0.2421	-0.3617	-0.401	0.6564	-0.2464	-0.2581
ACOT12	-0.5669	0.3782	0.978	-0.5018	0.3347	-0.4609	-0.4486	-0.6426	0.2219	-0.0041	0.3533	-0.188	-0.5181	-0.4048	-0.0679	-0.2125	-0.2737	0.6818	0.3369	-0.412	-0.7511	-0.4452	-0.4731	0.4536	-0.1206	0.4934	0.9618
ACOT2	-0.1427375	-0.1541375	0.0315625	-0.0810375	-0.2851375	-0.0563375	-0.0365375	0.0109625	-0.0705375	-0.1862375	-0.3572375	0.1504625	0.0038625	-0.2116375	-0.2068375	-0.5173375	-0.5346375	-0.0434375	0.0384625	0.3461625	-0.2987375	-0.1112375	-0.2457375	-0.0003375	-0.2802375	-0.2558375	-0.0358375
ACOT4	-0.719	-1.136	-0.7402	-1.9368	-1.2271	-1.4629	-1.5196	-1.4864	-1.6317	-1.1682	-1.029	-1.1342	-1.7234	-1.5114	-1.532	-0.827	-0.8335	-1.1686	-1.6862	-1.7555	-0.3205	-1.0054	-1.1707	-1.1156	-1.1616	-1.2575	-1.1824
ACOT7	-1.322518182	-1.269818182	-0.963918182	-0.656418182	-1.224618182	-1.364718182	-1.177718182	-1.790818182	-0.901218182	-0.836718182	-1.084118182	-0.882718182	-0.983818182	-1.046818182	-0.675918182	-1.125318182	-1.140018182	-1.410618182	-1.763018182	-1.060718182	-0.804018182	-1.265518182	-1.230618182	-1.478218182	-1.667118182	-0.712418182	-1.376418182
ACOT8	-1.3344	-1.5325	-1.5174	-1.2416	-1.5329	-1.5063	-1.4474	-1.5622	-1.3938	-1.5401	-1.5891	-1.5559	-1.4779	-1.4095	-1.3504	-1.4162	-1.4674	-1.4841	-1.4543	-1.6208	-1.6622	-1.4181	-1.3743	-1.6871	-1.4321	-1.4094	-1.3571
ACOT9	0.8706	0.9885	1.1323	1.0336	0.9759	0.9885	0.946	0.981	1.2572	1.1127	0.945	1.1661	0.994	1.1829	1.413	0.842	0.8869	0.7319	1.0738	1.4607	1.2143	1.0212	1.026	0.9255	0.9241	1.2912	0.86
ACOX1	0.3664	0.2813	0.4736	0.2943	0.2943	0.1074	0.3047	0.6435	0.5207	0.6935	-0.0186	0.419	0.5389	0.044	0.2782	0.334	0.2921	0.2534	0.6764	0.6644	0.3376	0.1296	0.4532	0.3961	0.3225	0.5239	0.2768
ACOX2	-1.3597125	-0.3357125	0.8485875	0.7524875	0.9733875	0.8029875	0.7119875	-0.0136125	0.8428875	0.7017875	0.6068875	0.5643875	0.4434875	0.6611875	0.8904875	-1.5820125	-1.2618125	0.4468875	0.3362875	0.1705875	-0.0627125	0.4536875	-0.4637125	0.6355875	0.6899875	0.8358875	0.1256875
ACOX3	-0.218218182	-0.186518182	-0.242618182	-0.321218182	-0.527918182	-0.312518182	-0.330318182	-0.476518182	-0.244718182	-0.363118182	-0.496818182	-0.137718182	-0.013618182	-0.117818182	-0.362418182	-0.441718182	-0.390118182	-0.306418182	-0.085018182	-0.390418182	-0.387618182	-0.218518182	-0.630318182	-0.308218182	-0.057018182	-0.135118182	-0.269118182
ACP1	0.1406	0.0534	0.1491	0.1436	0.1299	0.1596	0.1537	0.1614	0.131	0.08	0.1816	0.1194	0.1288	0.1197	0.137	0.1033	0.1127	0.1573	-0.019	0.1348	-0.0506	0.1348	0.1407	0.2387	0.1288	0.1285	0.2632
ACP2	0.799033333	1.047133333	1.011533333	1.107133333	0.937533333	0.971933333	1.022633333	0.478333333	1.112433333	0.887733333	0.746633333	1.096333333	0.966633333	1.015933333	0.949333333	0.988733333	0.923033333	1.234733333	0.959033333	0.961733333	0.751733333	1.023133333	0.825433333	0.878133333	0.969733333	1.092033333	1.086533333
ACP5	0.778525	1.242425	0.547025	0.914125	0.950525	0.687525	0.833525	0.939725	1.627425	0.971025	0.973525	1.125525	1.119625	0.975025	0.790225	0.952425	0.650225	1.118925	1.184125	1.487925	0.886025	1.172325	0.873025	1.080025	1.036325	1.935225	1.043325
ACP6	1.271025	1.446825	2.657725	1.741425	1.326325	1.581025	1.961725	1.630725	1.842025	2.320125	1.349625	1.972425	1.623125	1.873825	1.763025	1.263925	1.301625	1.955725	1.528525	1.697025	1.815525	1.584125	1.413825	1.632625	1.753525	2.045425	1.672725
ACPL2	-1.0453	-1.362	-1.0857	-1.0564	-0.7212	-1.0957	-0.6978	-0.494	-0.952	-0.8252	-1.1543	-0.0263	-0.6943	-0.8811	-0.8253	-0.4119	-0.2959	-0.5488	-0.8615	-0.8824	-0.6566	-0.8024	-0.8807	-0.8363	-0.9016	-0.8998	-0.7524
ACPP	1.027176282	1.013776282	1.035776282	1.029276282	1.015576282	1.043976282	1.040676282	1.048176282	1.017676282	1.005376282	1.026276282	0.875176282	1.013776282	1.000476282	1.022876282	1.024976282	0.999676282	1.047276282	1.025376282	1.019876282	1.082076282	1.023476282	1.026476282	1.278176282	1.015376282	0.919576282	0.750476282
ACPT	-0.4803125	-0.1633125	-0.3051125	-0.2777125	0.0296875	-0.2728125	-0.5609125	-0.5199125	-0.6590125	-0.0709125	-0.2989125	-0.1980125	-0.2841125	-0.3088125	-0.2956125	-0.0956125	-0.2867125	-0.3377125	-0.6207125	-0.6075125	-0.2693125	-0.5788125	-0.4427125	-0.2037125	-0.5352125	-0.4530125	-0.2118125
ACR	-1.370238462	-1.206938462	-1.221338462	-1.238038462	-1.159038462	-1.347138462	-1.171538462	-1.424938462	-1.119938462	-1.104238462	-1.328638462	-0.960038462	-1.269538462	-1.315838462	-1.373338462	-0.912438462	-0.974638462	-1.104638462	-1.475138462	-0.917438462	-1.115938462	-1.167438462	-1.467638462	-0.970238462	-0.791838462	-0.900538462	-1.084538462
ACRBP	1.0264	1.1229	1.3919	1.3387	1.4841	1.4889	1.8087	1.3718	1.3348	1.466	1.9139	1.2347	1.0292	1.5379	1.4218	1.3245	0.9755	1.8928	1.5925	1.3075	1.2269	1.4945	1.3447	1.385	1.7083	1.2876	1.667
ACRC	-1.3571	-1.1116	-1.2712	-0.9327	-1.338	-0.9807	-1.0726	-0.8936	-1.1152	-0.7747	-1.1597	-0.7887	-0.7679	-0.8555	-0.6021	-1.2043	-1.0905	-1.1304	-0.9256	-0.957	-1.1	-1.0303	-1.2947	-1.1105	-0.8274	-0.9469	-0.8745
ACRV1	-1.29015	-1.16205	-1.66855	-1.80585	-1.36845	-1.41275	-1.55655	-0.96785	0.19555	-1.42605	-1.24915	-1.17755	-1.83345	-1.48725	-1.57155	-0.78315	-0.60045	-1.79665	-1.58415	-1.18915	-0.84755	-1.93585	-0.45655	-1.24635	-1.10025	-1.06345	-1.34955
ACSBG1	-4.702	-2.6783	-5.1459	-3.5942	-3.2569	-5.1588	-3.2611	-5.0343	-3.1442	-3.5017	-3.8544	-3.1805	-4.1443	-4.7788	-3.6485	-4.8395	-4.7693	-2.8453	-2.874	-4.8401	-3.3592	-2.7921	-4.1813	-2.8781	-2.9532	-4.0114	-3.1121
ACSBG2	-0.4631	-0.3137	-0.4034	-0.4338	-0.0534	-0.4116	-0.3144	-0.5004	-0.2249	0.1173	-0.3314	-0.0176	-0.039	0.0855	-0.423	-0.6256	-0.3097	0.2461	-0.4222	-0.3664	-0.1404	-0.3978	-0.4494	-0.1111	-0.3356	-0.4552	-0.1928
ACSL1	-0.9951	-0.9482	-0.3476	-0.7465	-0.7396	-0.5921	-0.8075	-0.5392	-1.2669	-0.8117	-1.0766	-0.7755	-0.4642	-0.9524	-0.6719	-0.4539	-0.4944	-1.0855	-1.105	-0.4756	-1.2877	-1.1523	-0.7894	-0.9403	-0.8854	-0.6797	-1.0014
ACSL3	-0.67055	0.02465	-0.42505	-0.45865	-0.08305	-0.59305	-0.23845	-0.45825	-0.50405	-0.40955	-0.16905	-0.22595	-0.41555	-0.86065	-0.37245	-0.61075	-0.36735	-0.14715	-0.05885	-0.72735	-0.45935	-0.12455	-0.78875	-0.09855	-0.16815	-0.55655	-0.37725
ACSL4	-0.0434	-0.0791	0.1669	0.3394	-0.0225	-0.1456	-0.059	0.0863	-0.0636	0.0762	0.0633	-0.116	0.1473	0.4549	0.442	0.098	-0.0205	0.105	-0.1615	0.0739	-0.0787	-0.0504	-0.0121	-0.1506	-0.1398	0.3113	-0.1228
ACSL5	-0.8002375	-0.5990375	-0.7257375	-0.0837375	-0.3505375	-1.0364375	-0.6705375	-0.8576375	-0.6145375	-0.3728375	-0.7308375	-0.2926375	-0.2447375	-0.4390375	0.3881625	-0.9328375	-0.9938375	-0.4511375	-0.6848375	-0.8007375	-0.0510375	-0.4477375	-0.9172375	-0.0938375	-0.9643375	-0.5342375	-0.3890375
ACSL6	-3.110563636	-2.719763636	-3.912963636	-4.091363636	-3.779063636	-4.035563636	-3.012263636	-2.414163636	-3.430563636	-4.161263636	-3.497163636	-3.355263636	-2.828463636	-3.887263636	-4.040063636	-2.575763636	-2.480863636	-2.402063636	-2.696563636	-4.104063636	-2.642663636	-2.775763636	-2.188163636	-3.502763636	-2.288063636	-4.189863636	-2.824963636
